description,image_url,gender,item_type,specifications
Pure Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1996777/2024/4/8/b8b53722-91ef-4dd4-ade5-337ff56120501712570586979-Roadster-Men-Black-Cotton-Pure-Cotton-T-shirt-64117125705865-1.jpg",men,t-shirt,"{'fabric': 'Pure Cotton', 'fit': 'Regular Fit', 'length': 'Regular', 'main_trend': 'New Basics', 'neck': 'Round Neck', 'occasion': 'Casual'}"
Slim Tropical Printed Pure Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12377258/2024/7/25/ab076c69-6b6d-4445-b87a-f727e99e9e771721903964046-Urbano-Fashion-Men-Teal-Green-Slim-Fit-Tropical-Printed-Pure-1.jpg",men,t-shirt,"{'fit': 'Slim Fit', 'length': 'Regular', 'main_trend': 'Tropical', 'neck': 'Round Neck', 'occasion': 'Casual', 'pattern': 'Printed', 'pattern_coverage': 'All-Over'}"
Print Oversized Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27226100/2024/1/29/0d63dbfd-673d-49d0-be10-751fa0d54c0f1706543722864BULLMERMenTribalPrintedAppliqueT-shirt1.jpg",men,t-shirt,"{'fabric': 'Cotton', 'fit': 'Oversized', 'length': 'Regular', 'main_trend': 'New Basics', 'neck': 'Round Neck'}"
Men Solid Polo Collar T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/16571510/2022/1/25/4795a975-86d9-4d71-ade8-cfe05f47cab81643104562191-Allen-Solly-Men-Yellow--White-Polo-Collar-T-shirt-3851643104-1.jpg",men,t-shirt,"{'fabric': 'Cotton', 'fit': 'Regular Fit', 'length': 'Regular', 'main_trend': 'New Basics', 'neck': 'Polo Collar'}"
Men Polo Collar Applique T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/SEPTEMBER/7/VouyYW4N_3ad45252456a4958acd9ee91ab64942d.jpg",men,t-shirt,"{'fabric': 'Cotton', 'fit': 'Regular Fit', 'length': 'Regular', 'main_trend': 'New Basics', 'neck': 'Polo Collar', 'occasion': 'Casual'}"
Striped Round Neck T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28727814/2024/4/6/c19682d1-9d4c-4d38-9451-45331bab81851712384125011ManiacMenStripedV-NeckDrop-ShoulderSleevesPocketsT-shirt1.jpg",men,t-shirt,"{'fabric': 'Cotton', 'fit': 'Oversized', 'length': 'Regular', 'main_trend': 'Multi or Variegated Stripes', 'neck': 'Round Neck'}"
Solid Round Neck T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2475892/2018/4/3/11522732991435-Roadster-Men-Black-Solid-Round-Neck-T-shirt-1531522732991218-1.jpg",men,t-shirt,"{'fabric': 'Cotton', 'fit': 'Regular Fit', 'length': 'Regular', 'main_trend': 'Placement Print', 'neck': 'Round Neck', 'occasion': 'Casual', 'pattern': 'Solid'}"
Solid Lounge T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12027422/2022/9/15/7a4e30f1-809f-4111-9991-6fd07d8832e21663221355704LevisMenCharcoalGreySolidRoundNeckLoungeT-shirts1.jpg",men,t-shirt,"{'fabric': 'Cotton', 'neck': 'Round Neck', 'pattern': 'Solid', 'sleeve_length': 'Short Sleeves', 'type': 'Regular'}"
Polo Collar Lounge Tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28138228/2024/8/14/5ac5da7b-b7ed-4fb8-9f82-cd75dc6215a61723609139978-Lux-Cozi-Polo-Collar-Lounge-Tshirts-511723609139421-2.jpg",men,t-shirt,"{'fabric': 'Cotton Blend', 'neck': 'Polo Collar', 'pattern': 'Solid', 'sleeve_length': 'Short Sleeves', 'type': 'Regular'}"
Men Solid Waffle T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/16997726/2022/2/17/7e310403-4a7e-4b03-b1d4-93b55d14a4681645083078794-Roadster-Men-Tshirts-4211645083078121-1.jpg",men,t-shirt,"{'fabric': 'Cotton', 'fit': 'Regular Fit', 'length': 'Regular', 'main_trend': 'New Basics', 'neck': 'Round Neck', 'occasion': 'Casual'}"
Polo Collar Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25181318/2024/9/5/3377b05b-de4a-46f0-8937-61f76dfafae21725528704806-Rigo-Polo-Collar-Waffle-Knit-Cotton-T-shirt-1241725528703957-1.jpg",men,t-shirt,"{'fabric': 'Cotton', 'fit': 'Regular Fit', 'length': 'Regular', 'main_trend': 'New Basics', 'neck': 'Polo Collar', 'occasion': 'Casual'}"
