Description,Image,Gender,Specifications
Printed Pure Cotton T-Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29796572/2024/5/27/57d91967-41c4-485a-9ff9-a69afd88fed51716814886526MarksSpencerWomenPrintedV-NeckPocketsT-shirt1.jpg",women,"{'Fabric': 'Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'Floral Print', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Women Printed Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/SEPTEMBER/23/WOS7gthm_334854e7a3624d878ba9574e0f8964a2.jpg",women,"{'Fabric': 'Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'Graphic Print Others', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Ribbed T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26006962/2023/12/4/71df8bbf-575a-40f3-b706-1b3d8ac03d0d1701669082183-Kook-N-Keech-Women-Tshirts-2371701669081877-1.jpg",women,"{'Fabric': 'Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Women Printed V-Neck T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30043502/2024/6/28/b706887d-538a-4c40-a2c2-3ee939d8e1511719567014892CLAFOUTISWomenColourblockedMandarinCollarExtendedSleevesPock1.jpg",women,"{'Care for me': 'Follow the garment wash care label\nCan be tumble dried in a cool setting if machine washed\nPrevent static build-up by drying while damp\nUse low heat to iron', 'Fabric': 'Polyester', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'Typography or Slogan Print', 'Multipack Set': 'Single', 'Neck': 'V-Neck', 'Number of Items': '1'}"
Graphic Printed Cotton T-Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24257122/2023/7/29/a83f28ae-7f14-4dbc-8e21-6234a12b34de1690622488749Tshirts1.jpg",women,"{'Fabric': 'Cotton', 'Fit': 'Oversized', 'Length': 'Regular', 'Main Trend': 'Graphic Print Others', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Pure Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2312468/2018/2/21/11519195992929-Roadster-Women-Maroon-Solid-Round-Neck-T-shirt-7951519195992737-1.jpg",women,"{'Fabric': 'Pure Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Women Fitted T-Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30184135/2024/7/11/a72ab096-cd1c-4dff-b457-6f12a9947db41720681100647FittedT-shirt1.jpg",women,"{'Fabric': 'Polyester', 'Fabric 2': 'Elastane', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1'}"
Typography Printed T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23958962/2023/8/4/a4c6ddaa-dbed-4644-b2a4-2c0fb76ef2b21691141196770-Kook-N-Keech-Women-Tshirts-9071691141196409-1.jpg",women,"{'Fabric': 'Cotton', 'Fit': 'Oversized', 'Length': 'Longline', 'Main Trend': 'Typography or Slogan Print', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1', 'Occasion': 'Casual'}"
Women Typography Printed Pure Cotton T-shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15313286/2022/3/31/16939cad-83b2-46aa-804d-be9d2de31cf31648711389296-HERENOW-Women-Black-Typography-Printed-Pure-Cotton-T-shirt-2-1.jpg",women,"{'Fabric': 'Pure Cotton', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'Typography or Slogan Print', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Occasion': 'Casual', 'Pattern': 'Printed'}"
Women Fitted T-Shirt,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30154459/2024/7/9/78cc60e0-f438-4056-883b-f277c0a9b8151720490113052HMWomenShortSleeveFittedT-Shirt1.jpg",women,"{'Fabric': 'Polyester', 'Fabric 2': 'Elastane', 'Fit': 'Regular Fit', 'Length': 'Regular', 'Main Trend': 'New Basics', 'Multipack Set': 'Single', 'Neck': 'Round Neck', 'Number of Items': '1'}"
